Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.98503471438016e-07,211.004516601562,36738,0.00574349472299218,118.336647033691,7.05531311035156,0.900247991085052,1.506267786026,9.45640659332275,510014.59375,239390.09375,58680.78515625,494127.96875,60715.6640625,4543245,-28849810
AF4,-3.37470879685497e-07,251.258636474609,30,8.37528800964355,253.686706542969,6.03647232055664,0.731197714805603,1.18681931495667,40.8446655273438,797187.75,281789.78125,98792.984375,1224509.125,105179,9747186,-73318672
F7,1.89478317480507e-08,165.078155517578,115,1.43546223640442,206.359100341797,3.64443826675415,0.72790139913559,1.28423190116882,9.16541385650635,420541.96875,189017.9375,73665.4453125,881443.3125,78020.0390625,7899117,-58230488
F3,-3.15132382411321e-08,195.963272094727,23939,0.00818594265729189,307.798400878906,3.77754282951355,0.701876521110535,1.24904263019562,248.159042358398,616415.875,366733,150119.515625,1208455.375,129761.484375,11783431,-92125368
F4,1.62751902621494e-07,366.733093261719,33,11.1131238937378,221.67951965332,23.8003787994385,0.734871685504913,1.22400677204132,16.7371215820312,791393.5625,202611.15625,80540.4375,1042287.4375,93567.359375,8507646,-68440200
F8,-5.26550287816008e-08,745.542114257812,1113,0.669849157333374,1333.75354003906,35.1040267944336,0.344154745340347,1.23921370506287,8.7184476852417,6001138,689520.3125,243902.53125,1190924.75,161197.390625,51966796,-634568320
FC5,8.37693647781634e-08,175.053207397461,2162,0.0809681788086891,222.484573364258,3.55133461952209,0.822374403476715,1.28630948066711,12.5781784057617,774359.125,353639,153747.1875,1083144.25,151901.953125,8517249,-58960216
FC6,-2.23384972741769e-08,123.452850341797,2956,0.0417634807527065,123.171928405762,3.06040549278259,0.985266804695129,1.26464521884918,11.4816427230835,255451.640625,107502.8515625,52986.6015625,976487.75,66939.203125,4715322,-28293416
T7,-1.70729947512882e-07,223.956268310547,2057,0.108875192701817,295.720520019531,4.10093259811401,0.726115465164185,1.29236304759979,45.0473747253418,1249651,524337,199657.375,1096411.125,152574.03125,11679006,-89516520
T8,2.39341044760977e-08,135.851776123047,3599,0.0377470888197422,125.907249450684,3.35314226150513,0.947547674179077,1.32402503490448,10.9852523803711,319851.8125,146234.640625,60895.37109375,849017.1875,63699.1796875,4823600,-29426156
P7,-8.37693647781634e-09,448.82470703125,96,4.67525720596313,622.431762695312,17.5640659332275,0.496014475822449,1.26305067539215,21.0606098175049,2482392.25,425248.625,159615.703125,1150453.25,118473.3359375,23821956,-242599680
P8,1.18074915178568e-07,379.958374023438,4398,0.0863934457302094,566.508911132812,13.1519584655762,0.515055298805237,1.27837705612183,21.6996116638184,3005495.5,561327.625,231424.390625,1065055.75,166003.203125,21815504,-209822480
O1,-1.07703463925191e-08,339.340484619141,100,3.39340496063232,200.332107543945,24.3989429473877,0.71978771686554,1.31560146808624,5.01931858062744,783667.4375,123804.890625,62596.09375,739325.6875,117345.1875,7693124,-62692984
O2,1.15681499934794e-08,114.796600341797,27159,0.00422683451324701,119.485046386719,3.49039816856384,0.891319274902344,1.34983420372009,15.6266794204712,289304.375,109999.421875,57105.546875,642570.25,115296.34375,4572615,-29059174
