Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-3.55022535813987e-08,110.496002197266,21291,0.00518979877233505,79.6364669799805,5.15910720825195,0.819254279136658,1.34747779369354,537.818115234375,261389.96875,84526.6171875,58773.9609375,274132.3125,146732.46875,3047630,-19092848
AF4,-7.02067026736586e-08,108.308815002441,5145,0.0210512764751911,71.3799438476562,4.46125936508179,0.834027647972107,1.37692654132843,176.612411499023,188913.34375,84590.53125,59468.03125,193836.90625,174000.171875,2740671.5,-16745336
F7,1.59560697987615e-09,526.602111816406,39,13.5026178359985,149.53791809082,114.606620788574,0.571162104606628,1.31049513816833,57.4911689758301,958162.0625,95563.875,64320.328125,277688.3125,123955.7578125,5725630.5,-53802548
F3,3.98901747189484e-08,130.789947509766,74,1.76743173599243,135.37060546875,4.87556743621826,0.773238658905029,1.28280460834503,57.3464546203613,205461.78125,73061.59375,80951.0390625,582014.9375,102769.4296875,5192513.5,-37670792
F4,3.38268677069209e-07,1003.73083496094,5288,0.189812943339348,740.414855957031,123.548294067383,0.376264780759811,1.2788450717926,42.8880653381348,2185791.25,188871.5625,96664.2109375,746272.5,110204.8125,28404208,-363359360
F8,-3.59011558259681e-08,230.44482421875,106,2.17400789260864,224.472290039062,5.51663255691528,0.805195331573486,1.24975907802582,272.922698974609,786173,239570.03125,140363.5625,1124631.125,126244.2265625,8621619,-62231516
FC5,2.71253185246678e-07,150.392822265625,128,1.1749439239502,200.695755004883,3.96870636940002,0.822884500026703,1.26211643218994,51.3325386047363,408338.9375,155191.296875,104206.6640625,1035711,119043.9375,7679503,-54592584
FC6,3.01569713201388e-07,146.967437744141,3443,0.042685866355896,142.200714111328,3.39757752418518,0.934608936309814,1.26245415210724,62.4269790649414,282796.71875,129657.6796875,80017.5703125,886021.9375,179330.3125,5445047.5,-34588552
T7,3.87732484341541e-07,318.433776855469,72,4.42269134521484,500.067657470703,9.49780750274658,0.543342888355255,1.25604832172394,34.2066230773926,1010334.25,261320.65625,220508.453125,1113708.25,121048.203125,19163678,-184199792
T8,-1.8429260251196e-07,195.940017700195,70,2.79914307594299,283.747314453125,5.21384334564209,0.724783480167389,1.21970748901367,52.822021484375,630813,287582.625,181735.78125,1217757.25,136099.390625,10867266,-85813880
P7,-4.85662852156565e-08,572.837097167969,50,11.4567422866821,486.319244384766,42.9299240112305,0.526288747787476,1.22598803043365,5.72961187362671,1405267.125,206501.59375,148527.625,1094687.875,112686.390625,18628196,-188197456
P8,1.27648547731951e-07,178.658416748047,1545,0.115636512637138,162.417053222656,5.85871028900146,0.841866552829742,1.27025675773621,70.7408752441406,339616,111776.6640625,97409.34375,798506.5625,180011.140625,6224079,-44429820
O1,-3.15930179795032e-07,245.320724487305,33133,0.00740412063896656,151.157638549805,11.9507923126221,0.628792762756348,1.37404990196228,38.2815589904785,457802.5625,117614.4296875,93543.71875,258608.875,177441.875,5784165,-46334824
O2,-5.26550287816008e-08,106.507339477539,100,1.06507337093353,74.1947250366211,4.854905128479,0.832405507564545,1.44518625736237,210.967559814453,233306.9375,84647.765625,76822.7890625,188112.875,146802.65625,2838793.5,-17703254
