Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.99498823122019e-15,296.6667,10368,0.0286136863425926,387.400725458365,12.3996096094272,0.234363575447846,1.28266768410032,221.182729421827,1761847.82983949,326258.953596144,102660.028766586,80458.1016452677,52186.8593393777,14831513.6852413,-147548936.255274
AF4,3.7150618830916e-17,157.9492,29437,0.00536566905595,107.357287564388,11.0320926805204,0.325371877808091,1.42445216212234,424.860092464193,362666.768309654,85468.501697462,39933.0606592516,40404.1998792273,27554.2137255047,4112564.52890636,-34759713.8358621
F7,5.27538787399008e-17,292.8206,134,2.18522835820896,212.336075827856,42.9270544556346,0.324126814273907,1.37454184497313,53.9292944250197,311537.012141255,91734.7143095377,67710.1764993491,96185.9815645089,65015.2205468838,8137357.56258371,-84592445.2873672
F3,2.52772810525553e-15,349.7436,224,1.56135535714286,156.6675708466,33.3354663830744,0.386656018216456,1.34902927339582,210.258109304659,457795.058784811,119713.849464027,87430.7409448049,107593.275761668,61510.3884847642,5996647.9130432,-54543952.2619432
F4,3.74478237815634e-16,434.3589,1744,0.249059002293578,516.937007067327,20.1474909037134,0.306150357687954,1.34447127655491,23.052681319631,1800731.25443219,371969.025577956,160846.448498532,202219.816069493,138409.211090165,20118377.8477493,-206776151.232278
F8,1.10263036690159e-15,491.282,124,3.96195161290323,631.743367290394,26.1530537136483,0.203758237677329,1.34899636896158,119.139954954203,1430569.28422036,151799.018010853,80250.6340111774,112250.413086228,74447.1213746325,24245650.7661188,-279675504.757948
FC5,-3.14108482215395e-16,186.2817,18301,0.0101787716518223,71.9233553752375,40.3928289459643,0.443288702981099,1.44655942189261,178.337677212412,239075.032369465,39985.5192917773,24953.6143083363,51911.1185268019,43020.4524935893,2754522.93026071,-22861765.1768007
FC6,-1.33222119127665e-15,530.2563,515,1.02962388349515,549.681184676821,30.8121873556896,0.174684838805891,1.44671374989137,114.778903628068,348306.17687751,46635.9469576564,22274.298429089,57318.2151595415,55314.8596411508,21055572.2627564,-247529421.941457
T7,1.16430039416091e-15,121.4107,10898,0.0111406404844926,73.332114449845,6.52686104278454,0.493431280993251,1.42111172730674,284.227623640406,217674.425470394,54278.8379089102,52096.4465383529,68258.7849670652,53113.3525017947,2808351.11076318,-20818383.989675
T8,1.20516607487492e-15,353.5899,435,0.812850344827586,265.859078284229,90.0533111647594,0.26486846806559,1.40610843608986,83.9475142801389,427151.875916863,55217.7599005609,59918.7492661868,67942.7286434677,58615.809834684,10272150.4767592,-117359370.551094
P7,-5.52801208204031e-16,332.8205,281,1.18441459074733,164.785469668746,113.879434979386,0.390581564043681,1.39062158838648,45.0213485502777,322009.532077462,55245.1053374151,56933.89905494,111098.98826888,76103.0407173935,6308525.13165265,-66414672.8308966
P8,-7.17749955813298e-16,204.3588,350,0.583882285714286,103.84717142149,20.6594991219157,0.548729987608657,1.38166369613438,221.046470919708,263196.391280839,85792.5142320501,83539.0703215591,136796.025332738,93193.7686323813,3992575.64260637,-31413530.2348351
O1,7.35582252852138e-16,1305.1281,17871,0.0730305019305019,2937.8987418498,42.3676588365518,0.0904911787645599,1.33664323330479,65.7838289153105,4820127.16635083,137899.019936098,55415.8595804392,85818.1196531244,67442.1357747878,112391965.83878,-1542099789.90755
O2,5.11155364494574e-15,199.2307,33943,0.00586956662640309,106.862668195923,14.1568046372911,0.394843743262449,1.43896005646538,467.298772845562,230727.657702817,52800.634697806,27891.3271434351,58665.4527475537,55044.4539275865,4090017.02758933,-35445731.4690752
