Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.61278266468773e-14,642.1738,21047,0.0305114173041289,2649.57562832592,11.8371815761158,0.130288282685287,1.3512272000702,0.374718369401426,3354679.49947997,387706.895287299,142854.536013103,170121.256050896,119936.740382993,101475704.049096,-1301094692.84201
AF4,-8.0096734199455e-16,645.3993,657,0.982342922374429,1208.04151835421,12.8755735067589,0.233905863657221,1.27939483640757,18.2881937868897,4750902.99676839,768512.538215667,317083.484636135,309481.615081119,146617.885476775,46225773.3460568,-513726435.728174
F7,-8.61894356877252e-15,551.9741,443,1.24599119638826,796.593933520449,47.7596353770474,0.233124323071343,1.41063206103821,0.319742387675657,499955.904138181,163959.058343856,119461.729169222,177712.534693026,121412.915451684,31516552.0342856,-396357527.843973
F3,-3.40107971298023e-13,247.5958,5050,0.0490288712871287,216.060154493433,22.5039426960597,0.460580440528157,1.47677604952837,59.5091805960957,309018.954418445,118913.417133309,154309.788329607,164482.982504061,114475.425428835,8478859.09093154,-79142714.6300126
F4,-2.37466755567215e-15,1168.3702,301,3.88162857142857,4187.87374556254,20.7028503484847,0.151099959498599,1.25891935719584,6.62146356076264,10051140.5777322,1036363.10956404,530557.169055048,418098.644522078,214933.493788323,162378056.621313,-2143651366.72269
F8,1.44419315643303e-14,1745.2817,196,8.90449846938776,7245.57313730431,36.5229097168827,0.101552083152076,1.22492843367451,4.27877865757948,9887616.7538783,918398.042364739,370295.577870375,355230.870995114,156223.539623097,277467990.58717,-4032922771.98278
FC5,9.19886472872312e-15,2418.9907,13625,0.177540601834862,33407.897072396,18.1319275395735,0.0462533927488516,1.2964784394389,14.8464883181309,8330806.12718836,258997.556686318,141633.790962478,267587.785211516,193563.495692074,1293778499.41151,-21075322870.439
FC6,1.07922547703811e-14,1720.1446,184,9.34861195652174,12623.4136996547,26.1280526254647,0.0626679624407705,1.33028610834884,18.6888033805572,6412076.47522708,195120.089612346,103330.11450291,180066.081722101,133965.263998865,491856084.919895,-7653970541.77628
T7,-4.21585222493235e-15,162.1474,5024,0.0322745621019108,150.833827767968,8.4228380130316,0.512706271085861,1.38857997051563,97.4217403791769,434146.848701015,176571.562945765,118966.772508771,183966.753022547,107398.699646663,5780687.50152574,-45384236.6216235
T8,-1.62926825179395e-14,187.2309,28988,0.0064589105836898,232.978985319541,7.00614321651201,0.436758357808009,1.36900199240693,123.370857773633,651840.277028797,197869.969217535,192691.506514576,189250.072183521,123429.431387097,8916718.85066036,-75796617.6155544
P7,-1.16201563110281e-14,145.7944,4258,0.0342401127289807,145.362613215394,8.60838918420274,0.513241849705098,1.34685696922613,513.778858152621,453691.004589343,196523.272223576,152142.942028588,196549.410673872,95805.5813052581,5601170.207966,-43225363.6702762
P8,3.13848427883579e-15,172.9083,1769,0.0977435274166196,195.031810877911,5.68174715257259,0.53044250108722,1.3535228496807,76.2553410248174,609096.801267371,243451.972077465,293069.765527244,244536.032262645,148583.356807658,7469806.65450594,-57220797.7710452
O1,-7.5757541920004e-15,366.9538,24670,0.0148744953384678,1046.45951844705,11.6979529239947,0.203147893999992,1.36366778905449,49.8295125522166,2232110.24801229,287388.646884363,151100.152344582,175930.445039584,118798.226698656,40106791.1742014,-451377117.059175
O2,3.83691591285701e-15,213.1395,337,0.632461424332344,227.089949189401,12.2726783121246,0.412322859726921,1.44148400258631,5.49539862870421,378379.171215483,108243.228938841,84988.8373348906,143384.116895013,120661.768835689,8967380.57358374,-84023685.8959253
