Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.89572029167923e-12,808.9157,20374,0.0397033326789045,39077.724289436,3.61658273965983,0.0707255534797606,1.37525923574531,81.2246521856771,4269226.91241337,1094410.8617784,294056.432333012,1290631.32169143,142150.021355506,1530938123.11713,-22910064683.048
AF4,6.4615476922711e-13,686.9164,3753,0.183031281641354,5997.95323175556,11.2590412199225,0.182380726113997,1.36044709287371,10.9612656250045,2622499.78381684,777405.186247337,341551.262102064,1270031.34250736,235512.520635924,230631555.286087,-3124996867.04381
F7,-4.72095203855749e-13,407.2652,13807,0.0294970087636706,2475.75720120835,5.97071021222253,0.276685227225652,1.37896784445431,1.75320702335501,1337590.57371319,664514.294256771,364239.29872117,1119457.14039769,292590.12662927,95226677.2978517,-1132326164.0592
F3,-1.32315644028191e-14,1229.5214,5523,0.222618395799384,28850.1092462505,8.91679874364011,0.0848802594003194,1.2917218596993,0.833497201149555,6284524.80084196,1165915.85838411,318232.200788187,1419718.58289182,221032.19911117,1120434284.20069,-16779431738.8674
F4,-2.11889297514506e-13,404.0238,10267,0.0393516898801987,4886.34913566512,2.31552985002728,0.190718799468599,1.32000366236696,120.555187760554,1172411.11308867,557456.92133895,293874.907174717,1253510.21574904,213608.48321553,187605482.901253,-2285747508.21707
F8,9.18666446549905e-13,1213.0526,358,3.38841508379888,32262.5321423974,5.26545724184734,0.0807420216758358,1.29646384922076,10.1856074741222,6301404.62421995,1223299.51780594,322814.339726051,1448942.1808227,203026.685527789,1261699362.10887,-18863746304.7363
FC5,-1.64211679331662e-13,952.9239,3098,0.307593253712072,12115.1627277013,6.26935114614067,0.129759582696027,1.32414365184304,7.20490790197603,3082837.47312719,834470.422792222,354960.974690381,1414393.20728216,245058.884338575,475845957.69844,-6662148229.33011
FC6,1.52361077732026e-12,819.2409,22655,0.0361615934672258,41829.1444127552,3.68896219563665,0.0687284294299616,1.34872961707988,83.8221208914363,4693167.06394306,1163537.49434883,274414.711774019,1386258.54163841,120150.704038667,1635975219.51572,-24613274986.9908
T7,2.40042036464574e-13,1292.4623,3039,0.425291971043106,22330.7414705359,6.49768228882207,0.0966409128409504,1.33109703641026,5.31580768835539,4543191.33333782,964266.182144472,351599.905319202,1338029.41154729,257879.64522611,880797367.237574,-12870745058.6502
T8,2.51566455630875e-12,827.345,19175,0.0431470664928292,43567.8645553158,3.7183958216923,0.0674770964459203,1.35004871995102,76.2882338231516,4927967.19084969,1303427.7780296,298383.88392192,1368549.09792788,114075.77446863,1706165749.96653,-25760419740.8574
P7,5.86991665726499e-13,608.1464,16157,0.0376398093705515,8068.01728688072,2.56304202137275,0.15452109561154,1.28136686661008,63.5716837367194,2770093.22566792,829446.77544872,266953.295817306,1486114.75061804,164419.805475313,311001672.17342,-3986253113.8147
P8,-1.74852359577213e-12,934.4562,20857,0.0448030013904205,36888.6494367149,3.43113790964396,0.073352141113745,1.3363970658553,78.9879967085532,5321077.03267754,1184889.33375008,280484.052779678,1406671.91789169,114281.67210491,1431312744.32542,-21179714040.0279
O1,3.15037247686168e-15,1030.2993,3951,0.260769248291572,2632.89247208819,46.4395001268991,0.260056021103723,1.35458502605038,23.3190753855975,1781218.17429425,581536.885174047,285674.830400289,1135854.65627413,244286.19953557,100814940.112077,-1288880626.92917
O2,5.43659183922119e-13,779.5554,19920,0.0391343072289157,19522.6303507764,2.88910296188219,0.099088393427991,1.31778342984358,60.9139842889346,3406534.73391145,985240.478898749,293470.160195641,1400268.40203581,132979.461458701,764090562.696626,-10716555775.0075
