Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,9.89276287555185e-08,741.394287109375,5305,0.139753878116608,1766.37268066406,21.7621383666992,0.228127896785736,1.23299837112427,88.6042709350586,9813835,968925.3125,435646.59375,470290.0625,204545.328125,67599512,-819377984
AF4,-1.11692486370885e-08,519.109252929688,20839,0.0249104686081409,858.974243164062,15.6826591491699,0.299975126981735,1.27151048183441,8.2595329284668,6240390.5,941286,314852.1875,354730.59375,184465.96875,32879954,-352909952
F7,1.99450873594742e-08,485.279174804688,93,5.21805572509766,445.052276611328,32.6462135314941,0.318493723869324,1.36123669147491,74.0426940917969,3206877.75,363045.875,118986.390625,178576.875,126431.21875,17034800,-175760368
F3,7.8982544948758e-08,187.234558105469,48,3.90071988105774,124.576469421387,5.54574203491211,0.677012801170349,1.37996053695679,203.942398071289,592962.0625,197258.390625,236267.8125,244811.75,160447.5625,4769369.5,-32145222
F4,-4.78682089521953e-08,695.751647949219,80,8.69689559936523,1489.86499023438,15.2254800796509,0.266636669635773,1.26028800010681,70.7878952026367,8769305,1015901.375,572535.6875,521314.375,242047.625,57204152,-659485696
F8,-2.82422433883767e-07,459.122314453125,20511,0.022384200245142,862.536987304688,11.0179376602173,0.30671364068985,1.27675974369049,9.84749221801758,5662661,728205.6875,372312.5625,393967,198506.4375,33022884,-348572000
FC5,9.7730925574524e-08,459.319305419922,77,5.96518564224243,207.975341796875,66.3393478393555,0.465051829814911,1.40039348602295,75.4959411621094,1153167.125,169987.1875,89438.2109375,183527.5,134028.03125,7959515.5,-77907024
FC6,-9.41408089261131e-08,307.772033691406,27,11.3989639282227,148.404937744141,23.4557685852051,0.633169174194336,1.39468908309937,122.759483337402,784059.875,136757.609375,118655.1015625,244364.78125,194220.984375,5682363.5,-44985984
T7,-1.83494790917393e-07,235.413696289062,21638,0.0108796423301101,125.69905090332,17.4224739074707,0.634184837341309,1.37278687953949,10.9605560302734,637943.4375,167183.171875,127559.1328125,218283.765625,162228.453125,4812918.5,-36067444
T8,-2.45723470015946e-07,887.921142578125,105,8.45639228820801,524.441467285156,131.95654296875,0.314423024654388,1.3461035490036,72.3404235839844,2424970.75,217002.53125,178394.90625,222051.34375,158547.125,20063800,-246005264
P7,1.09697978700751e-07,434.368835449219,46,9.44280052185059,259.248687744141,33.9594078063965,0.441076457500458,1.39932250976562,93.9405899047852,1642017.25,234136.109375,118463.9921875,205096.53125,142224.59375,9924248,-97766776
P8,4.22835846336511e-08,402.804382324219,756,0.532810032367706,329.980438232422,32.1905136108398,0.404881924390793,1.36145842075348,88.0958938598633,2065962.375,241359.03125,205297.75,225308.53125,160739.296875,12644019,-130247928
O1,8.81572859157131e-08,287.391845703125,56,5.13199710845947,164.465576171875,13.3297920227051,0.689993143081665,1.38972687721252,132.272323608398,842447.3125,155295.6875,114876.1640625,344314.125,250990.734375,6294389,-47915568
O2,5.26550287816008e-08,221.476470947266,19,11.6566562652588,178.049957275391,8.0712194442749,0.67384797334671,1.3679975271225,354.959533691406,982155.5625,235728.046875,187748.234375,362402.125,253406.3125,6813766,-50672172
