Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,1.4520023228215e-07,148.992065429688,4396,0.0338926427066326,105.106842041016,6.18960952758789,0.379687458276749,1.28058540821075,336.655914306641,799684.25,207396.515625,63298.2890625,62027.3125,41924.234375,4169641.5,-31561422
AF4,-4.14857801445123e-08,140.656600952148,1180,0.119200512766838,38.866641998291,11.7024412155151,0.501099765300751,1.33779847621918,0.0330795347690582,225209.28125,83018.453125,38179.4453125,40446.609375,27051.87890625,2687673.5,-24204436
F7,-8.65616769374355e-08,107.879806518555,32818,0.00328721455298364,31.6622924804688,9.39482688903809,0.611527264118195,1.35323214530945,623.3115234375,157138.890625,66364.0703125,33235.3359375,51279.375,35929.9609375,1537647.25,-10726507
F3,4.60731506279899e-08,110.65518951416,541,0.204538241028786,53.2207641601562,5.05341482162476,0.499167174100876,1.34009647369385,91.2008438110352,402342.3125,103106.828125,36000.4296875,58977.1796875,38154.94140625,2406135.5,-17187624
F4,-5.10594233560369e-08,193.252075195312,4106,0.0470657758414745,221.205764770508,6.09759426116943,0.382624238729477,1.23469543457031,233.886611938477,1553079.875,482544.125,159207.0625,155859.796875,77713.0234375,8655282,-70927544
F8,-3.27099414221266e-08,145.074569702148,34432,0.00421336479485035,112.650398254395,5.08756065368652,0.408997565507889,1.26941657066345,501.786285400391,751310.25,201640.859375,83878.109375,90987.3046875,48918.12109375,4317587,-32414642
FC5,3.03165315074239e-08,81.1872787475586,315,0.257737398147583,37.3382453918457,4.67782306671143,0.5908522605896,1.37879943847656,118.103057861328,226127.234375,80284.90625,32972.69921875,53321.625,39546.0234375,1493053.375,-8924892
FC6,2.52155757607397e-07,113.670547485352,19245,0.00590649759396911,54.1229133605957,10.133957862854,0.427088767290115,1.33761739730835,168.722320556641,382382.125,80900.1953125,30482.74609375,39996.78125,29853.990234375,2072813.75,-14984609
T7,-8.37693647781634e-08,83.8613739013672,5491,0.0152725139632821,25.840145111084,5.23586177825928,0.712996304035187,1.36721241474152,21.7525463104248,114002.203125,56399.40625,35461.671875,57847.88671875,39973.3515625,998334.0625,-5117492.5
T8,-3.63000580705375e-08,81.9498901367188,8058,0.0101700033992529,25.4455947875977,9.08164596557617,0.637906968593597,1.37445843219757,238.450714111328,134302.703125,53000.9453125,30184.548828125,42058.43359375,32734.62109375,976753.8125,-5599648
P7,5.90374575892838e-08,74.0719451904297,19358,0.00382642541080713,25.0840682983398,5.06050539016724,0.774651229381561,1.39086961746216,569.520690917969,114032.5,50201.57421875,30101.48046875,62086.484375,48583.71875,970181.875,-4803780
P8,6.70154918225307e-08,103.949203491211,1177,0.0883170813322067,79.1734466552734,3.85920286178589,0.66623055934906,1.3241046667099,75.6569213867188,365711.03125,205569.125,106491.734375,168936.875,101894.0625,3278844,-21140926
O1,-7.91022159774002e-07,275.498870849609,21318,0.0129232984036207,656.090637207031,5.98987722396851,0.263961970806122,1.22156655788422,43.1591415405273,4697886.5,774130.25,182796.78125,195877,108566.84375,26026346,-257476768
O2,-7.5591877646275e-08,98.7095260620117,9,10.9677248001099,44.6294631958008,4.2072491645813,0.779752314090729,1.37197470664978,21.6934394836426,176646.4375,85216.328125,52279.625,128465.4296875,81494.3515625,1741090,-9568704
